"Edit","Select Next Element","⇧⌃→","Editing Java Source"
"Run/Debug","Run Java Application","⌥⌘X J","In Windows"
"Source","Toggle Comment","⌘7","Editing Properties Files"
"C/C++ Source","Toggle Mark Occurrences","⌥⌘O","C/C++ Editor"
"C/C++ Source","Show Source Quick Menu","⌥⌘S","C/C++ Editor"
"Text Editing","Text End","⌘↘","Editing Text"
"Navigate","Collapse All","⇧⌘Numpad_Divide","In Windows"
"Text Editing","Insert Line Above Current Line","⇧⌘↩","Editing Text"
"Text Editing","Delete Previous Word","⌥⌫","Editing Text"
"Search","Declaration in Workspace","⌘G","In Windows"
"Navigate","Go to Previous Member","⌃⌥↑","Editing Java Source"
"Window","Next Editor","⌘F6","In Windows"
"Navigate","Expand All","⇧⌘Numpad_Multiply","In Windows"
"Text Editing","Scroll Line Down","⌃↓","Editing Text"
"Source","Quick Assist - Assign to field","⌘2 F","Editing Java Source"
"C/C++ Source","Surround With Quick Menu","⌥⌘Z","C/C++ Editor"
"Window","Next Perspective","⌘F8","In Windows"
"Source","Toggle Comment","⇧⌘C","Editing Java Source"
"Navigate","Show In Breadcrumb","⌥⌘B","Editor Breadcrumb Navigation"
"Search","References in Workspace","⇧⌘G","In Windows"
"Text Editing","Text Start","↖","Editing Text"
"Edit","Matching Tag","⇧⌃.","Editing in Structured Text Editors"
"C/C++ Source","Open Element","⇧⌘T","C/C++ Editor"
"Navigate","Backward History","⌘[","In Windows"
"Source","Toggle Comment","⇧⌘C","Editing Properties Files"
"Navigate","Next Page","⌥F7","In Windows"
"Views","Show View (Synchronize)","⌥⌘Q Y","In Windows"
"C/C++ Source","Toggle Source/Header","⌃Tab","C/C++ Editor"
"C/C++ Source","Open Declaration","F3","C/C++ Editor"
"Edit","Format Active Elements","⌘I","Editing in Structured Text Editors"
"Text Editing","Delete Next Word","⌥⌦","Editing Text"
"Refactor - Java","Show Refactor Quick Menu","⌥⌘T","In Windows"
"Search","Open Search Dialog","⌃H","In Windows"
"Run/Debug","Step Return","F7","Debugging"
"C/C++ Source","Forward","⌥→","In Macro Expansion Hover"
"Window","Show View Menu","⌘F10","In Dialogs and Windows"
"Edit","Restore Last Selection","⇧⌃↓","Editing XML Source"
"Source","Toggle Comment","⌘7","Editing Java Source"
"Refactor - C++","Toggle Function - Refactoring ","⌥⌘T","C/C++ Editor"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Text Editing","Delete to End of Line","⇧⌘⌦","Editing Text"
"Run/Debug","Use Step Filters","⇧F5","In Windows"
"C/C++ Source","Sort Lines","⌃⌘S","C/C++ Editor"
"Navigate","Open Include Browser","⌥⌘I","C/C++ Editor"
"Views","Show View (Javadoc)","⌥⌘Q J","In Windows"
"C/C++ Source","Show outline","⌘O","C/C++ Editor"
"Edit","Find Previous","⇧⌘K","Editing Text"
"C/C++ Source","Find Declaration","⌘G","C/C++ Editor"
"C/C++ Source","Open Declaration","F3","In Macro Expansion Hover"
"Navigate","Quick Hierarchy","⌘T","Editing Java Source"
"C/C++ Source","Find References","⇧⌘G","C/C++ Editor"
"Run/Debug","Next Memory Monitor","⌥⌘N","In Memory View"
"Run/Debug","Step Over","F6","Debugging"
"Edit","Quick Diff Toggle","⇧⌃Q","Editing Text"
"C/C++ Source","Explore Macro Expansion","⌘#","C/C++ Editor"
"Makefile Source","Open declaration","F3","Makefile Editor"
"Reverse Debugging Commands","Uncall","⇧F7","Debugging C/C++"
"Views","Show View (Declaration)","⌥⌘Q D","In Windows"
"Window","Activate Editor","⌘F12","In Windows"
"Text Editing","Duplicate Lines","⌥⌘↑","Editing Text"
"Edit","Select Enclosing C/C++ Element","⇧⌃↑","C/C++ Editor"
"Reverse Debugging Commands","Reverse Step Over","⇧F6","Debugging C/C++"
"Source","Add Javadoc Comment","⌥⌘J","In Windows"
"View","Zoom Out","⌘-","In Windows"
"Text Editing","Expand All","⌘Numpad_Multiply","Editing Text"
"Navigate","Backward History","⌥⌘←","In Windows"
"Git","Copy Path to Clipboard","⌘C","In Git Repositories View"
"Views","Show View (Cheat Sheets)","⌥⌘Q H","In Windows"
"Text Editing","Collapse All","⇧⌘Numpad_Divide","Editing Text"
"File","Save","⌘S","In Windows"
"Edit","Restore Last Selection","⇧⌃↓","Editing Java Source"
"Run/Debug","Run...","⌘R","In Windows"
"Window","Show Contributing Plug-in","⇧⌥F3","In Dialogs and Windows"
"Edit","Quick Fix","⌘1","In Dialogs and Windows"
"C/C++ Source","Format","⌥⌘F","C/C++ Editor"
"Navigate","Open Type","⇧⌘T","In Windows"
"Window","Show Ruler Context Menu","⌘F10","Editing Text"
"Source","Correct Indentation","⌘I","Editing Java Source"
"Edit","Select Next C/C++ Element","⇧⌃→","C/C++ Editor"
"Text Editing","To Upper Case","⇧⌘X","Editing Text"
"Source","Toggle Comment","⌘/","Editing Properties Files"
"Source","Open External Documentation","⇧F2","Editing Ant Buildfiles"
"Views","Show View (Package Explorer)","⌥⌘Q P","In Windows"
"C/C++ Source","Open Declaration","F3","In C/C++ Views"
"Run/Debug","Terminate","⌘F2","Debugging"
"Refactor - Java","Extract Local Variable","⌥⌘L","In Windows"
"Navigate","Open Structure","⌘F3","Editing Java Source"
"Window","Previous View","⇧⌘F7","In Windows"
"Navigate","Open Resource","⇧⌘R","In Windows"
"Navigate","Go to Next Member","⌃⌥↓","Editing Java Source"
"Run/Debug","Next Page of Memory","⇧⌘.","In Table Memory Rendering"
"Source","Toggle Ant Mark Occurrences","⌥⌘O","Editing Ant Buildfiles"
"C/C++ Source","Open Element","⇧⌘T","In C/C++ Views"
"Source","Quick Assist - Assign to local variable","⌘2 L","Editing Java Source"
"C/C++ Source","Indent Line","⌘I","C/C++ Editor"
"Refactor - Java","Change Method Signature","⌥⌘C","In Windows"
"Text Editing","Expand","⌘Numpad_Add","Editing Text"
"Source","Add Import","⇧⌘M","Editing Java Source"
"C/C++ Source","Surround With Quick Menu","⇧⌥Z","C/C++ Editor"
"Refactor - Java","Rename - Refactoring ","⌥⌘R","In Windows"
"Run/Debug","All Instances","⇧⌘N","In Windows"
"Run/Debug","Close Rendering","⌘W","In Memory View"
"Run/Debug","Java Breakpoint Properties","⌥↩","In Breakpoints View"
"Makefile Source","Uncomment","⌃\","Makefile Editor"
"Text Editing","Select Next Word","⇧⌥→","Editing Text"
"Text Editing","Move Lines Up","⌥↑","Editing Text"
"Navigate","Last Edit Location","⌃Q","In Windows"
"Uncategorized","Copy","⌘C","In Git Reflog View"
"Run/Debug","Add Memory Block","⌥⌘M","In Memory View"
"Views","Show View","⌥⌘Q Q","In Windows"
"Text Editing","Copy Lines","⌥⌘↓","Editing Text"
"Source","Format","⌥⌘F","Editing Ant Buildfiles"
"Edit","Toggle Block Selection","⌥⌘A","Editing Text"
"Edit","Remove Block Comment","⇧⌘\","Editing in Structured Text Editors"
"Run/Debug","Display","⇧⌘D","In Dialogs and Windows"
"Edit","Select Previous C/C++ Element","⇧⌃←","C/C++ Editor"
"Refactor - C++","Rename - Refactoring ","⌥⌘R","C/C++ Editor"
"Navigate","Go to Matching Bracket","⇧⌘P","Editing Java Source"
"Project","Make Target Build","⇧F9","In Windows"
"C/C++ Source","Remove Block Comment","⇧⌘\","C/C++ Editor"
"Edit","Undo","⌘Z","In Dialogs and Windows"
"Edit","Occurrences in File","⇧⌘A","Editing in Structured Text Editors"
"Refactor - Java","Move - Refactoring ","⌥⌘V","In Windows"
"Run/Debug","Previous Page of Memory","⇧⌘,","In Table Memory Rendering"
"Refactor - C++","Rename - Refactoring ","⌥⌘R","In C/C++ Views"
"Views","Show View (Type Hierarchy)","⌥⌘Q T","In Windows"
"Makefile Source","Comment","⌃/","Makefile Editor"
"Run/Debug","Debug Ant Build","⌃⌥⌘D Q","In Windows"
"Views","Show View (Variables)","⌥⌘Q V","In Windows"
"Run/Debug","Debug","⌘F11","In Windows"
"Views","Show View (Outline)","⌥⌘Q O","In Windows"
"Refactor - C++","Extract Function - Refactoring ","⌥⌘M","C/C++ Editor"
"Run/Debug","Toggle Memory Monitors Pane","⌘T","In Memory View"
"Edit","Previous Sibling","⇧⌘↑","Editing in Structured Text Editors"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Source","Rename In File","⌥⌘R","Editing Ant Buildfiles"
"Text Editing","Select Text End","⇧↘","Editing Text"
"Git","Commit...","⌘#","In Windows"
"Navigate","Next","⌘.","In Windows"
"Run/Debug","Run Ant Build","⌥⌘X Q","In Windows"
"Text Editing","Text Start","⌘↖","Editing Text"
"C/C++ Source","Quick Type Hierarchy","⌘T","C/C++ Editor"
"Edit","Select Next Element","⇧⌃→","Editing in Structured Text Editors"
"Refactor - Java","Inline","⌥⌘I","In Windows"
"Edit","Select Enclosing Element","⇧⌃↑","Editing XML Source"
"C/C++ Source","Find Declaration","⌘G","In C/C++ Views"
"Navigate","Previous Page","⇧⌥F7","In Windows"
"File","Close","⌘W","In Windows"
"Edit","Add Block Comment","⇧⌘/","Editing in Structured Text Editors"
"Refactor - C++","Extract Constant - Refactoring ","⌥C","C/C++ Editor"
"Source","Remove Block Comment","⌃⌘\","Editing Java Source"
"Edit","Find Next","⌘K","Editing Text"
"Navigate","Open Declaration","F3","In Windows"
"Navigate","Show In...","⌥⌘W","In Windows"
"Edit","Select Enclosing Element","⇧⌃↑","Editing Java Source"
"Run/Debug","Go to Program Counter","↖","In Disassembly"
"Project","Rebuild Last Target","F9","In Windows"
"Run/Debug","Run Android Application","⇧⌥A R","In Windows"
"C/C++ Source","Explore Macro Expansion","⌘=","C/C++ Editor"
"Source","Add Block Comment","⌃⌘/","Editing Java Source"
"Navigate","Next Sub-Tab","⌥⇟","In Dialogs and Windows"
"Run/Debug","Debug Java Application","⌃⌥⌘D J","In Windows"
"Text Editing","Move Lines Down","⌥↓","Editing Text"
"Reverse Debugging Commands","Reverse Step Into","⇧F5","Debugging C/C++"
"Window","Maximize Active View or Editor","⌃M","In Windows"
"Source","Remove Occurrence Annotations","⌥⌘U","Editing Java Source"
"Window","Switch to Editor","⇧⌘E","In Windows"
"Text Editing","Insert Line Below Current Line","⇧↩","Editing Text"
"Edit","Shift Left","⇧Tab","C/C++ Editor"
"Run/Debug","Run Java Applet","⌥⌘X A","In Windows"
"C/C++ Source","Go to Matching Bracket","⇧⌘P","C/C++ Editor"
"Edit","Remove Block Comment","⌘\","Editing in Structured Text Editors"
"File","Rename","F2","In Windows"
"Search","Find Text in Workspace","⌥⌘G","In Windows"
"Navigate","Matching Bracket","⇧⌘P","Editing in Structured Text Editors"
"Run/Debug","EOF","⌃D","In I/O Console"
"File","Save All","⇧⌘S","In Windows"
"Source","Surround With Quick Menu","⌥⌘Z","In Windows"
"Run/Debug","New Rendering","⌘N","In Memory View"
"Views","Show View (Search)","⌥⌘Q S","In Windows"
"Run/Debug","Step Into","F5","Debugging"
"Edit","Delete","⌦","In Windows"
"Edit","Matching Tag","⇧⌘>","Editing in Structured Text Editors"
"C/C++ Source","Find References","⇧⌘G","In C/C++ Views"
"Navigate","Forward History","⌘]","In Windows"
"Edit","Context Information","⇧⌃Space","In Dialogs and Windows"
"Run/Debug","Inspect","⇧⌘I","In Dialogs and Windows"
"Text Editing","Select Text Start","⇧↖","Editing Text"
"Edit","Toggle Comment","⇧⌘C","Editing in Structured Text Editors"
"Views","Show View (History)","⌥⌘Q Z","In Windows"
"Android Refactorings","Extract Android String","⇧⌥A S","In Windows"
"Search","File Search","⇧⌘F","In Windows"
"Text Editing","Toggle Folding","⌘Numpad_Divide","Editing Text"
"Source","Toggle Mark Occurrences","⌥⌘O","Editing Java Source"
"C/C++ Source","Go to Previous Member","⇧⌘↑","C/C++ Editor"
"Edit","Next Sibling","⇧⌘↓","Editing in Structured Text Editors"
"File","Close All","⇧⌘W","In Windows"
"Window","Next View","⌘F7","In Windows"
"Search","Show Occurrences in File Quick Menu","⇧⌘U","In Windows"
"Edit","Select Previous Element","⇧⌃←","Editing in Structured Text Editors"
